Community Area,Census Tract,Total Properties,Vacant Lot Fraction,Owned by City,Sold,Not City Owned,Leased,In Acquisition
EAST GARFIELD PARK,17031271200.0,135,71.11%,96,39,0,0,0
EAST GARFIELD PARK,17031837400.0,134,66.42%,89,43,2,0,0
EAST GARFIELD PARK,17031837000.0,116,63.79%,74,41,1,0,0
EAST GARFIELD PARK,17031837300.0,92,58.70%,54,38,0,0,0
EAST GARFIELD PARK,17031271300.0,47,55.32%,26,21,0,0,0
EAST GARFIELD PARK,17031836800.0,143,55.24%,79,64,0,0,0
EAST GARFIELD PARK,17031271500.0,22,50.00%,11,11,0,0,0
EAST GARFIELD PARK,17031837100.0,133,43.61%,58,74,1,0,0
EAST GARFIELD PARK,17031271800.0,72,38.89%,28,42,2,0,0
EAST GARFIELD PARK,17031836900.0,29,37.93%,11,18,0,0,0
EAST GARFIELD PARK,17031271400.0,51,37.25%,19,30,2,0,0
EAST GARFIELD PARK,17031270500.0,33,27.27%,9,24,0,0,0
ENGLEWOOD,17031680600.0,153,78.43%,120,31,2,0,0
ENGLEWOOD,17031834700.0,185,76.76%,142,36,7,0,0
ENGLEWOOD,17031681200.0,173,74.57%,129,43,1,0,0
ENGLEWOOD,17031680500.0,111,72.97%,81,24,5,0,1
ENGLEWOOD,17031681300.0,80,72.50%,58,21,1,0,0
ENGLEWOOD,17031834600.0,299,70.23%,210,82,7,0,0
ENGLEWOOD,17031680900.0,187,68.98%,129,50,8,0,0
ENGLEWOOD,17031681000.0,163,68.71%,112,48,3,0,0
ENGLEWOOD,17031834800.0,317,67.82%,215,99,3,0,0
ENGLEWOOD,17031681400.0,78,66.67%,52,21,5,0,0
ENGLEWOOD,17031681100.0,146,62.33%,91,41,14,0,0
NEW CITY,17031611500.0,4,75.00%,3,1,0,0,0
NEW CITY,17031612100.0,182,73.08%,133,30,19,0,0
NEW CITY,17031611700.0,114,64.04%,73,40,1,0,0
NEW CITY,17031842600.0,69,63.77%,44,23,2,0,0
NEW CITY,17031612000.0,140,62.86%,88,45,7,0,0
NEW CITY,17031610300.0,16,62.50%,10,6,0,0,0
NEW CITY,17031843800.0,250,62.40%,156,61,33,0,0
NEW CITY,17031611900.0,177,58.76%,104,69,4,0,0
NEW CITY,17031612200.0,205,56.59%,116,85,4,0,0
NEW CITY,17031611300.0,11,54.55%,6,5,0,0,0
NEW CITY,17031611200.0,85,51.76%,44,37,3,1,0
NEW CITY,17031611800.0,74,47.30%,35,36,3,0,0
NEW CITY,17031611600.0,34,35.29%,12,18,4,0,0
NEW CITY,17031611400.0,4,25.00%,1,3,0,0,0
NEW CITY,17031610400.0,7,0.00%,0,7,0,0,0
NEW CITY,17031610800.0,1,0.00%,0,1,0,0,0
NORTH LAWNDALE,17031843100.0,93,83.87%,78,14,1,0,0
NORTH LAWNDALE,17031838600.0,84,80.95%,68,16,0,0,0
NORTH LAWNDALE,17031843000.0,128,71.88%,92,34,2,0,0
NORTH LAWNDALE,17031290900.0,234,67.52%,158,70,6,0,0
NORTH LAWNDALE,17031292400.0,92,66.30%,61,28,3,0,0
NORTH LAWNDALE,17031844700.0,108,64.81%,70,38,0,0,0
NORTH LAWNDALE,17031292500.0,33,63.64%,21,11,1,0,0
NORTH LAWNDALE,17031291200.0,82,63.41%,52,28,2,0,0
NORTH LAWNDALE,17031841500.0,147,59.86%,88,47,12,0,0
NORTH LAWNDALE,17031838700.0,176,51.14%,90,78,4,4,0
NORTH LAWNDALE,17031843400.0,18,50.00%,9,9,0,0,0
NORTH LAWNDALE,17031292200.0,119,42.02%,50,68,1,0,0
NORTH LAWNDALE,17031843300.0,48,22.92%,11,36,1,0,0
NORTH LAWNDALE,17031291600.0,1,0.00%,0,1,0,0,0
WEST ENGLEWOOD,17031670200.0,105,93.33%,98,6,1,0,0
WEST ENGLEWOOD,17031670800.0,63,84.13%,53,10,0,0,0
WEST ENGLEWOOD,17031671900.0,6,83.33%,5,1,0,0,0
WEST ENGLEWOOD,17031671100.0,70,81.43%,57,12,1,0,0
WEST ENGLEWOOD,17031671300.0,95,81.05%,77,15,3,0,0
WEST ENGLEWOOD,17031671500.0,141,80.14%,113,20,8,0,0
WEST ENGLEWOOD,17031670700.0,99,78.79%,78,21,0,0,0
WEST ENGLEWOOD,17031671200.0,66,77.27%,51,15,0,0,0
WEST ENGLEWOOD,17031670300.0,65,76.92%,50,15,0,0,0
WEST ENGLEWOOD,17031670100.0,82,76.83%,63,17,2,0,0
WEST ENGLEWOOD,17031834900.0,95,75.79%,72,17,6,0,0
WEST ENGLEWOOD,17031671400.0,45,71.11%,32,12,1,0,0
WEST ENGLEWOOD,17031670600.0,106,68.87%,73,32,1,0,0
WEST ENGLEWOOD,17031670400.0,38,68.42%,26,12,0,0,0
WEST ENGLEWOOD,17031671600.0,80,67.50%,54,24,2,0,0
WEST ENGLEWOOD,17031670500.0,24,66.67%,16,8,0,0,0
WEST ENGLEWOOD,17031672000.0,25,64.00%,16,7,1,1,0
WEST ENGLEWOOD,17031670900.0,103,59.22%,61,40,2,0,0
