,df_latest_col_name
ID,ID
pin,pin
Address,Address
Managing Organization,Managing Organization
Property Status,Property Status
Date of Acquisition,Date of Acquisition
Date of Disposition,Date of Disposition
Sales Status,Sales Status
Sale Offering Status,Sale Offering Status
Sale Offering Reason,Sale Offering Reason
Sq. Ft.,Sq. Ft.
Square Footage - City Estimate,Square Footage - City Estimate
Land Value (2022),Land Value (2022)
Ward,Ward
Community Area Number,Community Area Number
Community Area Name,Community Area Name
Zoning Classification,Zoning Classification
Zip Code,Zip Code
Last Update,Last Update
Application Use,Application Use
Grouped Parcels,Grouped Parcels
Application Deadline,Application Deadline
Offer Round,Offer Round
Application URL,Application URL
X Coordinate,X Coordinate
Y Coordinate,Y Coordinate
Latitude,Latitude
Longitude,Longitude
Location,Location
pin10,pin10
year,year
class,class
triad_name,triad_name
triad_code,triad_code
township_name,township_name
township_code,township_code
nbhd_code,nbhd_code
tax_code,tax_code
zip_code,zip_code
lon,lon
lat,lat
x_3435,x_3435
y_3435,y_3435
census_block_group_geoid,census_block_group_geoid
census_block_geoid,census_block_geoid
census_congressional_district_geoid,census_congressional_district_geoid
census_congressional_district_num,census_congressional_district_num
census_county_subdivision_geoid,census_county_subdivision_geoid
census_place_geoid,census_place_geoid
census_puma_geoid,census_puma_geoid
census_school_district_unified_geoid,census_school_district_unified_geoid
census_state_representative_geoid,census_state_representative_geoid
census_state_representative_num,census_state_representative_num
census_state_senate_geoid,census_state_senate_geoid
census_state_senate_num,census_state_senate_num
census_tract_geoid,census_tract_geoid
census_zcta_geoid,census_zcta_geoid
census_data_year,census_data_year
census_acs5_congressional_district_geoid,census_acs5_congressional_district_geoid
census_acs5_congressional_district_num,census_acs5_congressional_district_num
census_acs5_county_subdivision_geoid,census_acs5_county_subdivision_geoid
census_acs5_place_geoid,census_acs5_place_geoid
census_acs5_puma_geoid,census_acs5_puma_geoid
census_acs5_school_district_unified_geoid,census_acs5_school_district_unified_geoid
census_acs5_state_representative_geoid,census_acs5_state_representative_geoid
census_acs5_state_representative_num,census_acs5_state_representative_num
census_acs5_state_senate_geoid,census_acs5_state_senate_geoid
census_acs5_state_senate_num,census_acs5_state_senate_num
census_acs5_tract_geoid,census_acs5_tract_geoid
census_acs5_data_year,census_acs5_data_year
cook_board_of_review_district_num,cook_board_of_review_district_num
cook_board_of_review_district_data_year,cook_board_of_review_district_data_year
cook_commissioner_district_num,cook_commissioner_district_num
cook_commissioner_district_data_year,cook_commissioner_district_data_year
cook_judicial_district_num,cook_judicial_district_num
cook_judicial_district_data_year,cook_judicial_district_data_year
ward_num,ward_num
ward_chicago_data_year,ward_chicago_data_year
chicago_police_district_num,chicago_police_district_num
chicago_police_district_data_year,chicago_police_district_data_year
env_airport_noise_dnl,env_airport_noise_dnl
env_airport_noise_data_year,env_airport_noise_data_year
school_elementary_district_geoid,school_elementary_district_geoid
school_elementary_district_name,school_elementary_district_name
school_secondary_district_geoid,school_secondary_district_geoid
school_secondary_district_name,school_secondary_district_name
school_school_year,school_school_year
school_data_year,school_data_year
tax_municipality_num,tax_municipality_num
tax_municipality_name,tax_municipality_name
tax_school_unified_district_num,tax_school_unified_district_num
tax_school_unified_district_name,tax_school_unified_district_name
tax_community_college_district_num,tax_community_college_district_num
tax_community_college_district_name,tax_community_college_district_name
tax_library_district_num,tax_library_district_num
tax_library_district_name,tax_library_district_name
tax_park_district_num,tax_park_district_num
tax_park_district_name,tax_park_district_name
tax_special_service_area_num,tax_special_service_area_num
tax_special_service_area_name,tax_special_service_area_name
tax_tif_district_num,tax_tif_district_num
tax_tif_district_name,tax_tif_district_name
tax_data_year,tax_data_year
misc_subdivision_id,misc_subdivision_id
misc_subdivision_data_year,misc_subdivision_data_year
chicago_community_area_num,chicago_community_area_num
chicago_community_area_name,chicago_community_area_name
chicago_community_area_data_year,chicago_community_area_data_year
env_flood_fema_sfha,env_flood_fema_sfha
env_flood_fema_data_year,env_flood_fema_data_year
env_flood_fs_factor,env_flood_fs_factor
env_flood_fs_risk_direction,env_flood_fs_risk_direction
env_flood_fs_data_year,env_flood_fs_data_year
env_ohare_noise_contour_no_buffer_bool,env_ohare_noise_contour_no_buffer_bool
env_ohare_noise_contour_half_mile_buffer_bool,env_ohare_noise_contour_half_mile_buffer_bool
env_ohare_noise_contour_data_year,env_ohare_noise_contour_data_year
access_cmap_walk_id,access_cmap_walk_id
access_cmap_walk_nta_score,access_cmap_walk_nta_score
access_cmap_walk_total_score,access_cmap_walk_total_score
access_cmap_walk_data_year,access_cmap_walk_data_year
econ_qualified_opportunity_zone_num,econ_qualified_opportunity_zone_num
econ_qualified_opportunity_zone_data_year,econ_qualified_opportunity_zone_data_year
chicago_industrial_corridor_num,chicago_industrial_corridor_num
chicago_industrial_corridor_name,chicago_industrial_corridor_name
chicago_industrial_corridor_data_year,chicago_industrial_corridor_data_year
econ_enterprise_zone_num,econ_enterprise_zone_num
econ_enterprise_zone_data_year,econ_enterprise_zone_data_year
econ_industrial_growth_zone_num,econ_industrial_growth_zone_num
econ_industrial_growth_zone_data_year,econ_industrial_growth_zone_data_year
econ_central_business_district_num,econ_central_business_district_num
econ_central_business_district_data_year,econ_central_business_district_data_year
census_school_district_elementary_geoid,census_school_district_elementary_geoid
census_school_district_secondary_geoid,census_school_district_secondary_geoid
census_acs5_school_district_elementary_geoid,census_acs5_school_district_elementary_geoid
census_acs5_school_district_secondary_geoid,census_acs5_school_district_secondary_geoid
