,count,mean,std,min,max,25%,50%,75%
Sq. Ft.,19390.0,1802.2711707065498,74648.10760415593,0.0,10210198.0,0.0,0.0,0.0
Square Footage - City Estimate,4198.0,5079.61565973797,19235.317621070742,0.0,703517.0,2988.0,3122.0,3916.25
Land Value (2022),4277.0,51211.537984568626,373360.8142751255,0.0,12750000.0,9281.0,12102.0,20297.0
Latitude,17947.0,41.80637138974202,0.06703496287519323,41.6454366,42.0228314,41.76885075,41.7978099,41.865791200000004
Longitude,17947.0,-87.65697610162144,0.04942893623186517,-87.8361426,-87.5313038,-87.6970965,-87.651788,-87.62573205
Property Status,20540,,,,,,,
Sales Status,9082,,,,,,,
Ward,17947.0,,,,,,,
Community Area Name,17944,,,,,,,
Zoning Classification,17944,,,,,,,
Date of Acquisition,10873,,,1872-12-11 00:00:00,2029-03-12 00:00:00,,,
Date of Disposition,3772,,,1961-08-09 00:00:00,2025-01-16 00:00:00,,,
